metabolite_id,index
M_3hpp_e,168
M_iscu_c,715
M_rfamp_e,1001
M_cpgn_DASH_un_e,412
M_cyst_DASH_L_c,433
M_ttdcap_c,1084
M_pg180_c,915
M_2mcit_c,117
M_pg120_p,906
M_23dhb_c,56
M_co2_p,401
M_iasp_c,690
M_pgp140_p,922
M_glyclt_e,622
M_dgsn_c,461
M_idon_DASH_L_e,695
M_pep_c,904
M_pg181_c,917
M_5dglcn_c,219
M_fecrm_DASH_un_p,538
M_ile_DASH_L_p,700
M_skm5p_c,1017
M_ocACP_c,845
M_2cpr5p_c,97
M_gmhep7p_c,628
M_hdcea_p,660
M_xtsn_e,1149
M_5mthf_c,225
M_pgp161_c,927
M_2odec11eg3p_p,122
M_pa180_c,880
M_2dr5p_c,106
M_ala_DASH_L_c,296
M_clpn140_p,390
M_din_c,476
M_lald_DASH_L_c,736
M_mdhdhf_c,769
M_glcn_p,594
M_cdpdddecg_c,370
M_etha_e,515
M_doxrbcn_p,482
M_3odcoa_c,178
M_sucgsa_c,1036
M_uppg3_c,1126
M_2agpe161_p,75
M_gcald_c,579
M_ala_DASH_D_e,294
M_malcoame_c,761
M_glc_DASH_D_p,591
M_ddcap_c,458
M_hmbil_c,675
M_pa180_p,881
M_dtdpglu_c,491
M_ara5p_c,324
M_orot_c,867
M_cytd_e,435
M_25aics_c,62
M_iscs_c,710
M_cbl1_e,361
M_h2mb4p_c,643
M_cbm_c,363
M_cl_p,388
M_2agpe141_c,70
M_2dmmql8_c,104
M_cpgn_DASH_un_c,411
M_etoh_e,518
M_2agpg161_c,88
M_uama_c,1105
M_glyc_DASH_R_p,617
M_glyc_p,620
M_pap_c,887
M_ump_c,1121
M_t3c9palmeACP_c,1049
M_histd_c,673
M_eca3und_p,502
M_2agpg160_p,87
M_ppbng_c,954
M_spmd_e,1026
M_1ddecg3p_p,41
M_5apru_c,217
M_2aobut_c,96
M_LalaDgluMdapDala_c,235
M_LalaDgluMdap_c,238
M_5caiz_c,218
M_2agpg141_p,85
M_aps_c,323
M_prfp_c,966
M_g3p_c,567
M_enter_e,511
M_gua_p,642
M_mn2_c,787
M_ca2_e,356
M_lipa_c,743
M_acglu_c,259
M_gln_DASH_L_c,595
M_fusa_e,564
M_g1p_c,566
M_indole_p,705
M_gtp_c,638
M_egmeACP_c,506
M_rhcys_c,1003
M_mal_DASH_L_c,757
M_indole_c,703
M_ca2_c,355
M_2odecg3p_c,123
M_cm_p,397
M_rib_DASH_D_c,1004
M_methf_c,776
M_scl_c,1010
M_dhf_c,467
M_mocogdp_c,798
M_2shchc_c,134
M_tdec2eACP_c,1054
M_lipidX_c,751
M_3otdcoa_c,192
