 Count  Overhead File                    Line Function
     1         0 …\src\ProgressMeter.jl   560 #finish!#29
     1         0 @Base\util.jl            112 with_output_color(f::Function, co…
     1         0 @JuMP\src\aff_expr.jl    716 _assert_isfinite(a::JuMP.AffExpr)
     1         1 @Base\iobuffer.jl        398 ensureroom
     1         1 @Base\task.jl            746 popfirst!(W::Base.IntrusiveLinked…
     1         0 …HS\src\MOI_wrapper.jl  2077 _store_solution(model::HiGHS.Opti…
     1         0 @Base\array.jl          1515 sizehint!(a::Vector{MathOptInterf…
     1         0 …ce\src\instantiate.jl   177 instantiate(optimizer_constructor…
     1         0 …ce\src\instantiate.jl    96 _instantiate_and_check(optimizer_…
     1         0 …HS\src\MOI_wrapper.jl   321 HiGHS.Optimizer()
     1         0 …s\src\sparsevector.jl   707 getindex(A::SparseArrays.SparseMa…
     1         0 @Base\dict.jl            548 haskey(h::Dict{Tuple{Int64, Int64…
     1         1 …ractinterpretation.jl  3234 typeinf_local(interp::Core.Compil…
     1         0 @Base\dict.jl            151 rehash!(h::Dict{Int64, Int64}, ne…
     1         0 …s\src\ordered_dict.jl   177 rehash!(h::OrderedCollections.Ord…
     1         0 @COCOA\src\COCOA.jl     1374 test_concordance_optimized(model:…
     1         1 @Base\dict.jl            674 delete!(h::Dict{Symbol, Any}, key…
     1         1 …HS\src\MOI_wrapper.jl  2065 _store_solution(model::HiGHS.Opti…
     1         0 …rc\Utilities\model.jl   200 add_variable
     1         1 …lities\CleverDicts.jl   152 get(c::MathOptInterface.Utilities…
     1         1 …s\src\ordered_dict.jl   387 getindex(h::OrderedCollections.Or…
     1         1 @Base\boot.jl            618 Symbol(s::String)
     1         0 …lities\CleverDicts.jl   121 add_item
     1         0 @Base\array.jl           349 copy
     1         0 …src\Utilities\copy.jl   385 default_copy_to(dest::MathOptInte…
     1         0 …s\bridge_optimizer.jl   378 empty!(b::MathOptInterface.Bridge…
     1         0 …straint\Constraint.jl   108 add_all_bridges(model::MathOptInt…
     1         0 @COCOA\src\COCOA.jl     1833 process_concordance_batch(constra…
     1         0 …4\src\GLib\signals.jl   269 g_yield(data::UInt64)
     1         1 @JuMP\src\aff_expr.jl    398 _map_aff(f::typeof(MutableArithme…
     1         1 …MP\src\constraints.jl  1056 add_constraint(model::JuMP.Model,…
     1         1 …\universalfallback.jl   223 delete(uf::MathOptInterface.Utili…
     1         1 …\universalfallback.jl   846 add_constraint(uf::MathOptInterfa…
     1         1 …XA\src\worker_data.jl    57 get_worker_local_data(x::COBREXA.…
     1         0 @COCOA\src\COCOA.jl     1362 test_concordance_optimized(model:…
     1         1 @Base\pointer.jl          65 cconvert
     1         0 …s\src\sparsevector.jl   905 findnz(x::SparseArrays.SparseVect…
     1         0 …s\src\sparsevector.jl   115 nnz
     1         0 @Base\dict.jl            144 rehash!(h::Dict{Int64, Int64}, ne…
     1         1 @JuMP\src\aff_expr.jl    710 _assert_isfinite(a::JuMP.AffExpr)
     1         0 …HS\src\MOI_wrapper.jl  3280 set(model::HiGHS.Optimizer, attr:…
     1         0 …S\src\gen\libhighs.jl  1301 Highs_stopCallback
     1         0 …HS\src\MOI_wrapper.jl   335 unsafe_convert
     1         0 …s\src\sparsevector.jl   907 findnz(x::SparseArrays.SparseVect…
     1         1 …s\src\ordered_dict.jl   277 ht_keyindex2(h::OrderedCollection…
     1         0 …metics\src\rewrite.jl   112 operate!!(op::typeof(MutableArith…
     1         1 @JuMP\src\operators.jl   167 -(lhs::JuMP.VariableRef, rhs::JuM…
     1         1 @COCOA\src\COCOA.jl     1414 test_concordance_optimized(model:…
     1         0 …uct_of_constraints.jl    77 constraints(model::MathOptInterfa…
     1         0 …lities\CleverDicts.jl   182 setindex!(c::MathOptInterface.Uti…
     1         1 …HS\src\MOI_wrapper.jl  2225 optimize!(model::HiGHS.Optimizer)
     1         0 @Base\intfuncs.jl        643 ndigits0zpb(x::UInt64, b::Int64)
     1         0 @Base\intfuncs.jl        597 bit_ndigits0z
     1         0 @JuMP\src\aff_expr.jl    402 _map_aff(f::typeof(MutableArithme…
     1         0 @JuMP\src\aff_expr.jl    473 iterate
     1         0 …straint\Constraint.jl    60 add_all_bridges(model::MathOptInt…
     1         0 @Base\operators.jl      1144 (::Base.Fix2{typeof(isequal), Typ…
     1         1 @Base\operators.jl       251 ==
     1         0 @COCOA\src\COCOA.jl      578 is_non_concordant(tracker::COCOA.…
     1         1 …\compiler\ssair\ir.jl  1454 process_node!(compact::Core.Compi…
     1         0 …ler\ssair\slot2ssa.jl   797 construct_ssa!(ci::Core.CodeInfo,…
     1         0 …ler\ssair\slot2ssa.jl   813 construct_ssa!(ci::Core.CodeInfo,…
     1         0 …ler\ssair\irinterp.jl   131 reprocess_instruction!(interp::Co…
     1         0 …ler\ssair\irinterp.jl   106 kill_edge!
     1         0 …ler\inferencestate.jl   181 get!
     1         0 …piler\ssair\tarjan.jl    49 Core.Compiler.CFGReachability(cfg…
     1         0 …piler\ssair\tarjan.jl    91 tarjan!
     1         0 …piler\ssair\tarjan.jl   126 tarjan!(reach::Core.Compiler.CFGR…
