reaction_id,index
R_LPLIPAL1A181pp,1302
R_HOMt2pp,1171
R_12DGR161tipp,4
R_2AGPE120tipp,22
R_AGM3PApp,243
R_APG3PAT160,334
R_AKGDH,273
R_ALAtex_b,297
R_EX_alaala_LPAREN_e_RPAREN_,733
R_FECRMexs,910
R_GLYt4pp,1082
R_DHORDfum,606
R_MLTGY1pp,1422
R_O2tex_b,1551
R_PDX5PS,1619
R_PG140abcpp,1636
R_OMMBLHX3,1570
R_FEROpp,928
R_LCTSt3ipp,1277
R_CMPN,475
R_PDX5POi,1618
R_MDH2,1379
R_FE2tex_b,889
R_I4FE4ST,1201
R_AGMt2pp,255
R_NNDPR,1518
R_TYRTA_b,2006
R_URIt2pp,2063
R_EX_urea_LPAREN_e_RPAREN_,839
R_AMPTASECG,321
R_ETHAtex_b,708
R_MDH_b,1381
R_PLIPA1A160pp,1698
R_ADSK,235
R_PYNP2r_b,1839
R_CYTBD2pp,534
R_ACOAD1f_b,168
R_GLYCLTt2rpp_b,1064
R_MDDEP4pp,1378
R_METS,1397
R_GK1_b,1000
R_ETOHtex_b,710
R_APH141,340
R_GLYOX,1077
R_FA120ACPHi,852
R_TDPAGTA,1944
R_ADNCYC,225
R_NDPK1_b,1486
R_ACONTb_f,191
R_EX_thr_DASH_L_LPAREN_e_RPAREN_,833
R_3HAD161,58
R_HXAtex_b,1185
R_EX_3hpp_LPAREN_e_RPAREN_,717
R_NACODA,1466
R_PGPP140pp,1664
R_GLYCL,1061
R_Ec_biomass_iJO1366_WT_53p95M,846
R_EAR80y,669
R_MTHFC_b,1460
R_FMNRx,935
R_CHORS,443
R_CYTDK2,539
R_PGPP160,1667
R_ALAabcpp,292
R_LPLIPAL1E180pp,1308
R_MINCYCtex_b,1409
R_PPCSCT,1755
R_ACOLIPAabctex,187
R_PGAMT_b,1642
R_3OAR160_f,76
R_ACONTa_f,189
R_CBMD,424
R_NH4tex_b,1502
R_ABUTt2pp,131
R_COLIPAabcpp,490
R_FORtex_b,939
R_E4PD_b,644
R_LDH_D_f,1282
R_ASNN,373
R_THRt2rpp_f,1966
R_IPPMIb_f,1249
R_GLUTRS,1036
R_HACD1_f,1132
R_DASYN140,569
R_CPGNR3,494
R_DCTPD,578
R_LPLIPAL1E140pp,1304
R_ALR2,311
R_AGM4PApp,247
R_MCOATA_b,1365
R_CRNt2rpp_f,508
R_ASPt2pp,396
R_FE2t3pp,888
R_EPMEACPR,705
